School Year,School Authority Category,School Authority Name,School Authority Code,School Name,School Code,ECS,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
2013_2014,Public,Calgary School District No. 19,3030,Midsun School,348,,,,,,,,249,248,287,,,,784
2013_2014,Public,Calgary School District No. 19,3030,The Hamptons School,387,35,46,42,41,34,,,,,,,,,198
2013_2014,Public,Calgary School District No. 19,3030,Hidden Valley School,535,120,123,110,113,,,,,,,,,,466
2013_2014,Public,Calgary School District No. 19,3030,Crossing Park School,536,112,112,113,115,113,114,113,113,114,105,,,,1124
2013_2014,Public,Calgary School District No. 19,3030,Battalion Park School,537,96,105,107,113,99,91,89,,,,,,,700
2013_2014,Public,Calgary School District No. 19,3030,Monterey Park School,538,80,62,91,97,73,80,73,,,,,,,556
2013_2014,Public,Calgary School District No. 19,3030,Douglasdale School,596,57,74,57,71,58,4,2,,,,,,,323
2013_2014,Public,Calgary School District No. 19,3030,Scenic Acres School,597,48,22,23,26,31,,,,,,,,,150
2013_2014,Public,Calgary School District No. 19,3030,Coventry Hills School,1038,167,158,134,131,,,,,,,,,,590
2013_2014,Public,Calgary School District No. 19,3030,Colonel Sanders School,1053,,50,103,102,125,,,,,,,,,380
2013_2014,Public,Calgary School District No. 19,3030,Piitoayis Family School,1054,10,17,22,10,17,17,17,,,,,,,110
2013_2014,Public,Calgary School District No. 19,3030,CBe - Learn,1064,,,,,,,,27,34,57,270,602,1181,2171
2013_2014,Public,Calgary School District No. 19,3030,Valley Creek School,1098,,,,,124,133,115,127,135,118,,,,752
2013_2014,Public,Calgary School District No. 19,3030,Somerset School,1099,81,78,66,59,65,,,,,,,,,349
2013_2014,Public,Calgary School District No. 19,3030,Juno Beach Academy of Canadian Studies,1125,,,,,,,,20,17,17,11,15,9,89
2013_2014,Public,Calgary School District No. 19,3030,Discovering Choices 2,1161,,,,,,,,,,,6,31,298,335
2013_2014,Public,Calgary School District No. 19,3030,Centennial High School,1224,,,,,,,,,,,591,572,558,1721
2013_2014,Public,Calgary School District No. 19,3030,Start Outreach,1232,,,,,,,,,,,4,23,139,166
2013_2014,Public,Calgary School District No. 19,3030,Westbrook Outreach,1260,,,,,,,,,,,3,33,159,195
2013_2014,Public,Calgary School District No. 19,3030,Arbour Lake Middle School,1330,,,,,,152,175,190,201,204,,,,922
2013_2014,Public,Calgary School District No. 19,3030,Chaparral School,1331,84,96,69,100,77,65,,,,,,,,491
2013_2014,Public,Calgary School District No. 19,3030,Citadel Park School,1332,68,97,98,98,99,,,,,,,,,460
2013_2014,Public,Calgary School District No. 19,3030,Mountain Park School,1333,,,,,,150,189,176,211,193,,,,919
2013_2014,Public,Calgary School District No. 19,3030,Radisson Park School,1334,48,58,51,52,47,39,,,,,,,,295
2013_2014,Public,Calgary School District No. 19,3030,Tuscany School,1335,176,175,172,167,,,,,,,,,,690
2013_2014,Public,Calgary School District No. 19,3030,Taradale School,1450,139,137,134,133,139,,,,,,,,,682
2013_2014,Public,Calgary School District No. 19,3030,Samuel W. Shaw School,1451,,,,,,129,125,178,160,149,,,,741
2013_2014,Public,Calgary School District No. 19,3030,Panorama Hills School,1452,161,177,162,129,,,,,,,,,,629
2013_2014,Public,Calgary School District No. 19,3030,McKenzie Towne School,1463,125,156,121,101,72,,,,,,,,,575
2013_2014,Public,Calgary School District No. 19,3030,Bridlewood School,1498,84,93,74,106,69,79,54,,,,,,,559
2013_2014,Public,Calgary School District No. 19,3030,Cranston School,1499,122,151,110,100,74,,,,,,,,,557
2013_2014,Public,Calgary School District No. 19,3030,Evergreen School,1500,119,126,102,93,82,,,,,,,,,522
2013_2014,Public,Calgary School District No. 19,3030,Royal Oak School,1519,100,100,117,129,90,,,,,,,,,536
2013_2014,Public,Calgary School District No. 19,3030,Saddle Ridge School,1520,178,166,170,133,,,,,,,,,,647
2013_2014,Public,Calgary School District No. 19,3030,West Springs School,1521,101,105,86,88,65,44,38,,,,,,,527
2013_2014,Public,Calgary School District No. 19,3030,All Boys Alternative Program,1579,14,30,26,19,28,19,20,,,,,,,156
2013_2014,Public,Calgary School District No. 19,3030,Nose Creek School,1674,,,,,140,120,113,119,100,100,,,,692
2013_2014,Public,Calgary School District No. 19,3030,Captain Nichola Goddard School,1676,,,,,157,144,117,114,137,121,,,,790
2013_2014,Public,Calgary School District No. 19,3030,Ted Harrison School,1677,,,,,,138,155,124,141,89,,,,647
2013_2014,Public,Calgary School District No. 19,3030,Twelve Mile Coulee School,1678,,,,,144,172,140,139,126,103,,,,824
2013_2014,Public,Calgary School District No. 19,3030,Robert Thirsk School,1679,,,,,,,,,,,472,346,,818
2013_2014,Public,Calgary School District No. 19,3030,Children's Village School,9014,8,3,3,9,8,7,6,,,,,,,44
2013_2014,Public,Calgary School District No. 19,3030,William Roper Hull School,9033,,,1,4,1,3,4,11,9,18,11,8,6,76
2013_2014,Public,Calgary School District No. 19,3030,Wood's Homes School,9035,,1,,,1,2,1,4,9,16,18,8,2,62
2013_2014,Public,Calgary School District No. 19,3030,Emily Follensbee School,9036,4,6,12,9,12,8,4,1,6,7,,,,69
2013_2014,Public,Calgary School District No. 19,3030,Christine Meikle School,9037,,,,,,,,9,3,13,16,18,15,74
2013_2014,Public,Calgary School District No. 19,3030,Richmond School,9100,36,27,21,31,18,19,18,,,,,,,170
2013_2014,Public,Calgary School District No. 19,3030,Alex Ferguson School,9101,37,34,32,44,39,38,29,,,,,,,253
2013_2014,Public,Calgary School District No. 19,3030,Jennie Elliott School,9103,79,88,76,74,50,83,43,,,,,,,493
2013_2014,Public,Calgary School District No. 19,3030,Killarney School,9104,65,53,41,37,30,15,15,,,,,,,256
2013_2014,Public,Calgary School District No. 19,3030,Altadore School,9109,39,48,42,47,30,27,33,,,,,,,266
2013_2014,Public,Calgary School District No. 19,3030,Belvedere Parkway School,9110,56,36,42,34,36,49,39,,,,,,,292
2013_2014,Public,Calgary School District No. 19,3030,Bowcroft School,9111,50,37,36,41,33,33,44,,,,,,,274
2013_2014,Public,Calgary School District No. 19,3030,Connaught School,9114,69,38,37,45,32,20,45,,,,,,,286
2013_2014,Public,Calgary School District No. 19,3030,Earl Grey School,9118,34,33,30,28,27,31,16,,,,,,,199
2013_2014,Public,Calgary School District No. 19,3030,Elbow Park School,9119,13,36,17,44,19,24,32,,,,,,,185
2013_2014,Public,Calgary School District No. 19,3030,Glamorgan School,9121,81,89,96,91,84,66,76,21,32,,,,,636
2013_2014,Public,Calgary School District No. 19,3030,Glenbrook School,9122,44,52,45,53,33,42,34,,,,,,,303
2013_2014,Public,Calgary School District No. 19,3030,Ramsay School,9130,18,23,10,12,12,7,12,,,,,,,94
2013_2014,Public,Calgary School District No. 19,3030,Rosscarrock School,9133,24,21,20,22,21,16,22,,,,,,,146
2013_2014,Public,Calgary School District No. 19,3030,Terrace Road School,9138,43,20,9,6,17,19,17,,,,,,,131
2013_2014,Public,Calgary School District No. 19,3030,Westgate School,9140,157,161,148,123,95,,,,,,,,,684
2013_2014,Public,Calgary School District No. 19,3030,Wildwood School,9141,94,84,87,75,81,72,57,,,,,,,550
2013_2014,Public,Calgary School District No. 19,3030,William Reid School,9142,70,51,51,45,51,,,,,,,,,268
2013_2014,Public,Calgary School District No. 19,3030,Glendale School,9143,32,39,28,35,34,35,24,,,,,,,227
2013_2014,Public,Calgary School District No. 19,3030,Banff Trail School,9202,51,65,62,48,64,43,44,,,,,,,377
2013_2014,Public,Calgary School District No. 19,3030,Belfast School,9203,35,38,36,35,41,30,33,,,,,,,248
2013_2014,Public,Calgary School District No. 19,3030,Brentwood School,9204,105,125,130,132,91,,3,,,,,,,586
2013_2014,Public,Calgary School District No. 19,3030,Briar Hill School,9205,,40,28,37,29,26,23,,,,,,,183
2013_2014,Public,Calgary School District No. 19,3030,Buchanan School,9207,20,22,25,24,18,24,16,,,,,,,149
2013_2014,Public,Calgary School District No. 19,3030,Cambrian Heights School,9208,65,47,59,69,53,48,56,,,,,,,397
2013_2014,Public,Calgary School District No. 19,3030,Capitol Hill School,9209,45,32,36,43,45,31,46,,,,,,,278
2013_2014,Public,Calgary School District No. 19,3030,Captain John Palliser School,9210,60,93,62,52,66,89,70,,,,,,,492
2013_2014,Public,Calgary School District No. 19,3030,Collingwood School,9212,128,98,97,80,72,,,,,,,,,475
2013_2014,Public,Calgary School District No. 19,3030,Dr. E. W. Coffin School,9214,18,35,28,33,26,28,32,,,,,,,200
2013_2014,Public,Calgary School District No. 19,3030,Highwood School,9217,95,98,93,55,52,,,,,,,,,393
2013_2014,Public,Calgary School District No. 19,3030,Hillhurst School,9218,20,23,36,29,64,58,65,,,,,,,295
2013_2014,Public,Calgary School District No. 19,3030,Huntington Hills School,9219,27,31,27,23,29,37,38,,,,,,,212
2013_2014,Public,Calgary School District No. 19,3030,Mayland Heights School,9223,81,96,55,54,50,37,25,,,,,,,398
2013_2014,Public,Calgary School District No. 19,3030,Mount View School,9224,28,23,19,22,14,19,17,,,,,,,142
2013_2014,Public,Calgary School District No. 19,3030,North Haven School,9225,61,28,36,27,32,37,40,,,,,,,261
2013_2014,Public,Calgary School District No. 19,3030,Queen Elizabeth School,9227,42,41,44,37,32,32,24,,,,,,,252
2013_2014,Public,Calgary School District No. 19,3030,Rosemont School,9231,32,31,35,23,15,18,22,,,,,,,176
2013_2014,Public,Calgary School District No. 19,3030,Catherine Nichols Gunn School,9232,56,56,52,48,45,39,41,,,,,,,337
2013_2014,Public,Calgary School District No. 19,3030,Stanley Jones School,9233,19,27,34,26,51,72,65,55,49,48,,,,446
2013_2014,Public,Calgary School District No. 19,3030,Sunnyside School,9234,19,20,17,23,26,15,21,,,,,,,141
2013_2014,Public,Calgary School District No. 19,3030,Thorncliffe School,9235,123,73,23,13,15,19,24,,,,,,,290
2013_2014,Public,Calgary School District No. 19,3030,University School,9237,55,54,55,43,40,42,39,,,,,,,328
2013_2014,Public,Calgary School District No. 19,3030,Varsity Acres School,9238,87,97,98,66,73,70,59,,,,,,,550
2013_2014,Public,Calgary School District No. 19,3030,Vista Heights School,9239,22,32,23,17,17,16,15,,,,,,,142
2013_2014,Public,Calgary School District No. 19,3030,Dalhousie School,9240,127,138,123,116,99,,,,,,,,,603
2013_2014,Public,Calgary School District No. 19,3030,Marion Carson School,9241,41,35,50,33,46,44,46,,,,,,,295
2013_2014,Public,Calgary School District No. 19,3030,Dr. J. K. Mulloy School,9242,98,85,83,74,67,,,,,,,,,407
2013_2014,Public,Calgary School District No. 19,3030,Roland Michener School,9250,28,37,32,38,31,33,,,,,,,,199
2013_2014,Public,Calgary School District No. 19,3030,Silver Springs School,9256,30,26,30,27,29,28,19,,,,,,,189
2013_2014,Public,Calgary School District No. 19,3030,W.O. Mitchell School,9257,55,37,22,32,29,33,24,,,,,,,232
2013_2014,Public,Calgary School District No. 19,3030,Alex Munro School,9261,68,71,58,41,46,34,42,,,,,,,360
2013_2014,Public,Calgary School District No. 19,3030,Deer Run School,9265,97,50,54,53,45,54,40,,,,,,,393
2013_2014,Public,Calgary School District No. 19,3030,Woodbine School,9266,62,50,58,44,57,47,57,,,,,,,375
2013_2014,Public,Calgary School District No. 19,3030,Sundance School,9267,91,81,76,87,68,44,56,,,,,,,503
2013_2014,Public,Calgary School District No. 19,3030,Erin Woods School,9269,74,68,61,62,56,50,59,,,,,,,430
2013_2014,Public,Calgary School District No. 19,3030,Janet Johnstone School,9270,126,98,104,85,78,17,17,,,,,,,525
2013_2014,Public,Calgary School District No. 19,3030,O.S. Geiger School,9271,55,55,63,67,52,55,71,,,,,,,418
2013_2014,Public,Calgary School District No. 19,3030,Hawkwood School,9273,75,83,82,63,84,90,83,,,,,,,560
2013_2014,Public,Calgary School District No. 19,3030,Acadia School,9300,88,95,96,88,73,,,,,,,,,440
2013_2014,Public,Calgary School District No. 19,3030,Braeside School,9305,24,28,24,40,37,25,26,,,,,,,204
2013_2014,Public,Calgary School District No. 19,3030,Chinook Park School,9306,80,88,75,77,69,72,57,,,,,,,518
2013_2014,Public,Calgary School District No. 19,3030,Ethel M. Johnson School,9310,51,50,42,52,55,79,74,,,,,,,403
2013_2014,Public,Calgary School District No. 19,3030,Haysboro School,9316,23,24,26,22,19,26,26,,,,,,,166
2013_2014,Public,Calgary School District No. 19,3030,Keeler School,9318,53,39,44,44,43,44,52,,,,,,,319
2013_2014,Public,Calgary School District No. 19,3030,Le Roi Daniels School,9320,108,105,105,104,105,,,,,,,,,527
2013_2014,Public,Calgary School District No. 19,3030,Maple Ridge School,9321,58,87,43,64,51,,,,,,,,,303
2013_2014,Public,Calgary School District No. 19,3030,Marlborough School,9322,32,43,46,42,40,39,47,,,,,,,289
2013_2014,Public,Calgary School District No. 19,3030,Patrick Airlie School,9327,28,23,23,22,18,19,21,,,,,,,154
2013_2014,Public,Calgary School District No. 19,3030,Valley View School,9330,54,47,46,38,41,39,57,,,,,,,322
2013_2014,Public,Calgary School District No. 19,3030,Willow Park School,9331,,,,,,90,120,150,149,145,,,,654
2013_2014,Public,Calgary School District No. 19,3030,Nellie McClung School,9333,38,43,60,61,72,107,100,,,,,,,481
2013_2014,Public,Calgary School District No. 19,3030,Lake Bonavista School,9334,64,77,55,54,54,15,13,,,,,,,332
2013_2014,Public,Calgary School District No. 19,3030,Andrew Sibbald School,9336,83,66,70,68,64,,,,,,,,,351
2013_2014,Public,Calgary School District No. 19,3030,Cedarbrae School,9338,40,36,42,29,30,28,25,,,,,,,230
2013_2014,Public,Calgary School District No. 19,3030,Chris Akkerman School,9339,99,102,96,77,125,141,,,,,,,,640
2013_2014,Public,Calgary School District No. 19,3030,Prince of Wales School,9341,60,56,68,50,55,31,47,,,,,,,367
2013_2014,Public,Calgary School District No. 19,3030,Guy Weadick School,9343,96,44,49,58,42,31,37,,,,,,,357
2013_2014,Public,Calgary School District No. 19,3030,West Dalhousie School,9344,45,34,56,50,47,45,58,,,,,,,335
2013_2014,Public,Calgary School District No. 19,3030,Dr. Gordon Higgins School,9346,,,,,,,,125,133,144,,,,402
2013_2014,Public,Calgary School District No. 19,3030,Douglas Harkness School,9347,78,45,40,36,34,41,29,,,,,,,303
2013_2014,Public,Calgary School District No. 19,3030,Colonel J. Fred Scott School,9348,56,80,67,69,75,70,65,,,,,,,482
2013_2014,Public,Calgary School District No. 19,3030,Dr. Gladys McKelvie Egbert,9350,,,,,,,121,75,103,97,,,,396
2013_2014,Public,Calgary School District No. 19,3030,G.W. Skene School,9351,,,,,86,70,56,,,,,,,212
2013_2014,Public,Calgary School District No. 19,3030,Cappy Smart School,9353,40,29,37,41,26,32,7,,,,,,,212
2013_2014,Public,Calgary School District No. 19,3030,Sam Livingston School,9354,106,94,89,92,90,,,,,,,,,471
2013_2014,Public,Calgary School District No. 19,3030,Canyon Meadows School,9355,115,127,116,97,79,,,,,,,,,534
2013_2014,Public,Calgary School District No. 19,3030,Penbrooke Meadows School,9356,31,29,35,33,24,36,29,,,,,,,217
2013_2014,Public,Calgary School District No. 19,3030,West Dover School,9357,42,48,51,45,50,33,37,,,,,,,306
2013_2014,Public,Calgary School District No. 19,3030,Rundle School,9358,80,65,56,61,59,40,52,,,,,,,413
2013_2014,Public,Calgary School District No. 19,3030,Pineridge School,9360,42,35,49,45,30,41,34,,,,,,,276
2013_2014,Public,Calgary School District No. 19,3030,Chief Justice Milvain School,9361,78,78,93,92,109,43,42,,,,,,,535
2013_2014,Public,Calgary School District No. 19,3030,Colonel Irvine School,9622,,,,,,104,62,113,66,125,,,,470
2013_2014,Public,Calgary School District No. 19,3030,Haultain Memorial School,9362,24,33,39,37,30,26,35,,,,,,,224
2013_2014,Public,Calgary School District No. 19,3030,Midnapore School,9363,80,68,58,49,39,35,27,,,,,,,356
2013_2014,Public,Calgary School District No. 19,3030,James Short Memorial School,9364,120,86,59,68,,,,,,,,,,333
2013_2014,Public,Calgary School District No. 19,3030,Sunalta School,9368,43,44,49,53,53,45,41,,,,,,,328
2013_2014,Public,Calgary School District No. 19,3030,Banting and Best School,9369,64,60,49,51,,,,,,,,,,224
2013_2014,Public,Calgary School District No. 19,3030,Woodlands School,9371,37,35,33,53,41,35,42,,,,,,,276
2013_2014,Public,Calgary School District No. 19,3030,Beddington Heights School,9372,65,61,76,48,57,52,40,,,,,,,399
2013_2014,Public,Calgary School District No. 19,3030,Cecil Swanson School,9373,44,57,49,40,41,44,52,,,,,,,327
2013_2014,Public,Calgary School District No. 19,3030,Ranchlands School,9374,40,38,54,39,38,57,42,,,,,,,308
2013_2014,Public,Calgary School District No. 19,3030,Falconridge School,9375,89,84,77,57,54,66,58,,,,,,,485
2013_2014,Public,Calgary School District No. 19,3030,Abbeydale School,9376,66,62,47,46,43,41,,,,,,,,305
2013_2014,Public,Calgary School District No. 19,3030,Annie Foote School,9377,75,77,64,75,70,52,49,,,,,,,462
2013_2014,Public,Calgary School District No. 19,3030,Grant MacEwan School,9378,86,95,84,82,74,69,77,,,,,,,567
2013_2014,Public,Calgary School District No. 19,3030,Edgemont School,9379,86,109,104,91,99,110,97,,,,,,,696
2013_2014,Public,Calgary School District No. 19,3030,Olympic Heights School,9382,101,108,115,126,103,87,102,,,,,,,742
2013_2014,Public,Calgary School District No. 19,3030,Simons Valley School,9383,88,107,86,97,90,87,105,,,,,,,660
2013_2014,Public,Calgary School District No. 19,3030,Fish Creek School,9384,55,71,58,67,91,108,158,,,,,,,608
2013_2014,Public,Calgary School District No. 19,3030,McKenzie Lake School,9385,110,109,94,104,89,,,,,,,,,506
2013_2014,Public,Calgary School District No. 19,3030,Riverbend School,9386,37,44,34,41,48,41,39,,,,,,,284
2013_2014,Public,Calgary School District No. 19,3030,W.H.Cushing Workplace School,9387,36,33,17,14,,,,,,,,,,100
2013_2014,Public,Calgary School District No. 19,3030,Calgary Home Education,9425,,36,31,34,37,37,38,12,11,15,1,1,2,255
2013_2014,Public,Calgary School District No. 19,3030,Young Adult Program,9512,,,,,,,,,2,6,2,4,6,20
2013_2014,Public,Calgary School District No. 19,3030,AADAC Youth Services,9573,,,,,,,,,,,,2,5,7
2013_2014,Public,Calgary School District No. 19,3030,Project Trust,9599,,,,,,,,,,,,7,13,20
2013_2014,Public,Calgary School District No. 19,3030,Balmoral School,9601,,,,,,114,113,130,153,,,,,510
2013_2014,Public,Calgary School District No. 19,3030,Colonel Walker School,9602,10,24,16,21,5,19,15,,,,,,,110
2013_2014,Public,Calgary School District No. 19,3030,John Ware School,9603,,,,,,,,147,164,125,,,,436
2013_2014,Public,Calgary School District No. 19,3030,King George School,9608,75,86,82,59,45,51,42,,,,,,,440
2013_2014,Public,Calgary School District No. 19,3030,Langevin School,9609,43,75,51,53,54,52,55,79,111,68,,,,641
2013_2014,Public,Calgary School District No. 19,3030,Rideau Park School,9610,16,20,17,24,19,23,36,72,65,76,,,,368
2013_2014,Public,Calgary School District No. 19,3030,Thomas B Riley School,9611,,,,,,63,58,85,73,71,,,,350
2013_2014,Public,Calgary School District No. 19,3030,Ian Bazalgette School,9613,,,,,,,,120,117,137,,,,374
2013_2014,Public,Calgary School District No. 19,3030,Rosedale School,9618,24,24,26,30,23,27,27,25,35,29,,,,270
2013_2014,Public,Calgary School District No. 19,3030,Colonel Macleod School,9620,,,,,102,55,90,91,90,48,,,,476
2013_2014,Public,Calgary School District No. 19,3030,Branton School,9621,,,,,,,,251,242,214,,,,707
2013_2014,Public,Calgary School District No. 19,3030,Bob Edwards School,9623,,,,,,,,123,90,151,,,,364
2013_2014,Public,Calgary School District No. 19,3030,Louis Riel School,9625,47,46,42,52,43,41,48,60,74,65,,,,518
2013_2014,Public,Calgary School District No. 19,3030,Louise Dean School,9626,,,,,,,,,,,45,57,52,154
2013_2014,Public,Calgary School District No. 19,3030,Elboya School,9627,32,45,40,41,32,92,55,70,85,79,,,,571
2013_2014,Public,Calgary School District No. 19,3030,Vincent Massey School,9628,,,,,,,,274,220,226,,,,720
2013_2014,Public,Calgary School District No. 19,3030,Dr. Oakley School,9630,,,,5,25,29,28,27,10,9,,,,133
2013_2014,Public,Calgary School District No. 19,3030,Woodman School,9631,,,,,,44,44,142,148,167,,,,545
2013_2014,Public,Calgary School District No. 19,3030,Sherwood School,9632,,,,,48,53,53,86,86,83,,,,409
2013_2014,Public,Calgary School District No. 19,3030,Fairview School,9633,,,,,,173,164,181,176,79,,,,773
2013_2014,Public,Calgary School District No. 19,3030,Georges P. Vanier School,9635,,,,,,,,142,159,157,,,,458
2013_2014,Public,Calgary School District No. 19,3030,A. E. Cross School,9638,,,,,,,,151,179,149,,,,479
2013_2014,Public,Calgary School District No. 19,3030,Mount Royal School,9639,,,,,,,,52,76,72,,,,200
2013_2014,Public,Calgary School District No. 19,3030,Senator Patrick Burns School,9640,,,,,,137,123,134,121,118,,,,633
2013_2014,Public,Calgary School District No. 19,3030,David Thompson School,9641,,,,,,128,108,106,131,134,,,,607
2013_2014,Public,Calgary School District No. 19,3030,Harold Panabaker School,9643,,,,,,,,130,132,161,,,,423
2013_2014,Public,Calgary School District No. 19,3030,Ernest Morrow School,9644,,,,,,,,134,140,156,,,,430
2013_2014,Public,Calgary School District No. 19,3030,Bishop Pinkham School,9645,,,,,,118,75,169,149,134,,,,645
2013_2014,Public,Calgary School District No. 19,3030,Simon Fraser School,9646,,,,,,72,84,164,196,167,,,,683
2013_2014,Public,Calgary School District No. 19,3030,Sir Wilfrid Laurier School,9648,,,,,,,119,145,132,44,,,,440
2013_2014,Public,Calgary School District No. 19,3030,Sir John Franklin School,9649,,,,,,24,36,141,132,108,,,,441
2013_2014,Public,Calgary School District No. 19,3030,F. E. Osborne School,9651,,,,,,,,106,137,178,,,,421
2013_2014,Public,Calgary School District No. 19,3030,Sir John A Macdonald School,9652,,,,,,,,207,241,193,,,,641
2013_2014,Public,Calgary School District No. 19,3030,R. T. Alderman School,9653,,,,,,108,64,61,58,79,,,,370
2013_2014,Public,Calgary School District No. 19,3030,Nickle School,9654,,,,,,106,139,155,146,151,,,,697
2013_2014,Public,Calgary School District No. 19,3030,Robert Warren School,9655,,,,,,84,58,54,55,44,,,,295
2013_2014,Public,Calgary School District No. 19,3030,H. D. Cartwright School,9660,,,,,,,,107,116,122,,,,345
2013_2014,Public,Calgary School District No. 19,3030,Clarence Sansom School,9682,,,,,,,,145,165,176,,,,486
2013_2014,Public,Calgary School District No. 19,3030,Wilma Hansen School,9685,,,,,,,,98,126,104,,,,328
2013_2014,Public,Calgary School District No. 19,3030,Annie Gale School,9686,,,,,,,,134,155,177,,,,466
2013_2014,Public,Calgary School District No. 19,3030,West View School,9687,,,,,,,,,2,1,15,29,34,81
2013_2014,Public,Calgary School District No. 19,3030,Terry Fox School,9689,,,,,,,,181,190,189,,,,560
2013_2014,Public,Calgary School District No. 19,3030,Tom Baines School,9690,,,,,,,,202,248,277,,,,727
2013_2014,Public,Calgary School District No. 19,3030,Queen Elizabeth High School,9806,,,,,,,,157,148,171,160,176,189,1001
2013_2014,Public,Calgary School District No. 19,3030,Forest Lawn High School,9813,,,,,,,,,,,426,483,567,1476
2013_2014,Public,Calgary School District No. 19,3030,Crescent Heights High School,9815,,,,,,,,,,191,620,584,585,1980
2013_2014,Public,Calgary School District No. 19,3030,Western Canada High School,9816,,,,,,,,,,,658,631,632,1921
